Id,original
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0007.json,20240813_0015_III-Corps-Campaigns.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0050.json,20240813_0008_70th-Tank-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0115.json,79th_2__To-Belgium-and-Back.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0046.json,20240422_0017_Seven-Five-Zero.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0103.json,103rd-Evacuation-Hospital-(SM)_a.tif|103rd-Evacuation-Hospital-(SM)_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0011.json,20240813_0037_84th-Infantry-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0085.json,20240423_0025_Fourth-Armored-Division_001.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0093.json,XIX-Corps-in-Action_Cracks-Siegfried-Line_a.tif|XIX-Corps-in-Action_Cracks-Siegfried-Line_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0139.json,20241003_005_486th AntiAircraft.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0119.json,0018_Thunderbolt-a.tif|0018_Thunderbolt-b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0123.json,0001_Hell-on-Wheels.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0066.json,0003_535th-AAA.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0031.json,20240422_0020_Merry-Christmas-1944-V-Corps.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0027.json,20240813_0020_Timberwolf Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0135.json,20240813_0019_Hell_on_Wheels_1942-1943-1944.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0070.json,0008_Advance-of-4th-Infantry-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0134.json,20240813_0004_53rd-Reinf.-Bn..tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0071.json,0016_Progress-of-4th-Infantry-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0026.json,20240419_0012_ADSEC-in-Action_a.tif|20240419_0012_ADSEC-in-Action_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0030.json,20240813_0017_165_Engr-Combat-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0122.json,0030_549-AAA-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0067.json,20240813_0032_818th-Engineer-Aviation-Battalion.tif
